theta,phi,areaA,areaB,areaI
0.017844228,3.8832223,0.12510681,0.12510681,0.12510681
0.025233522,1.4832592,0.12514877,0.12514877,0.12514877
0.030906001,5.3664813,0.12516785,0.12516785,0.12516785
0.035688207,2.9665184,0.12508011,0.12508011,0.12508011
0.039900035,0.56655455,0.12514114,0.12514114,0.12514114
0.043709423,4.449777,0.12518692,0.12518692,0.12518692
0.047212623,2.0498142,0.1251831,0.1251831,0.1251831
0.05047224,5.933037,0.12502289,0.12502289,0.12502289
0.053535026,3.533074,0.12506104,0.12506104,0.12506104
0.05643197,1.1331091,0.12518692,0.12518692,0.12518692
0.059186433,5.0163336,0.12517929,0.12517929,0.12517929
0.061819386,2.6163688,0.12507248,0.12507248,0.12507248
0.064344816,0.21640778,0.124996185,0.124996185,0.124996185
0.066774935,4.0996284,0.12514114,0.12514114,0.12514114
0.069118924,1.6996675,0.1251564,0.1251564,0.1251564
0.07138695,5.582888,0.12508392,0.12508392,0.12508392
0.07358521,3.1829233,0.124923706,0.124923706,0.124923706
0.07571901,0.7829623,0.12527084,0.12527084,0.12527084
0.07779517,4.666187,0.12511063,0.12511063,0.12511063
0.07981746,2.2662182,0.125103,0.125103,0.125103
0.08178913,6.1494427,0.124881744,0.124881744,0.124881744
0.08371519,3.7494817,0.124988556,0.124988556,0.124988556
0.08559803,1.3495207,0.12508774,0.12508774,0.12508774
0.087439746,5.2327375,0.12509537,0.12509537,0.12509537
0.089244224,2.8327765,0.124858856,0.124858856,0.124858856
0.09101303,0.43281555,0.124874115,0.124874115,0.124874115
0.09274755,4.3160324,0.12501144,0.12501144,0.12501144
0.09445095,1.9160714,0.12506104,0.12506104,0.12506104
0.096124254,5.799296,0.124858856,0.124858856,0.124858856
0.097768396,3.399335,0.1247673,0.1247673,0.1247673
0.09938604,0.9993663,0.124996185,0.124996185,0.124996185
0.100977845,4.882591,0.12502289,0.12502289,0.12502289
0.10254445,2.4826221,0.12489319,0.12489319,0.12489319
0.104088135,0.08266115,0.124679565,0.124679565,0.124679565
0.105609335,3.9658856,0.124923706,0.124923706,0.124923706
0.10710901,1.5659246,0.12491226,0.12491226,0.12491226
0.10858751,5.449149,0.124881744,0.124881744,0.124881744
0.11004677,3.0491881,0.12462616,0.12462616,0.12462616
0.111487,0.64922714,0.124809265,0.124809265,0.124809265
0.11290841,4.5324364,0.124923706,0.124923706,0.124923706
0.11431274,2.1324754,0.124897,0.124897,0.124897
0.1157001,6.0157,0.124607086,0.124607086,0.124607086
0.117070585,3.6157389,0.12466431,0.12466431,0.12466431
0.11842579,1.2157779,0.12485123,0.12485123,0.12485123
0.11976573,5.0990024,0.1248703,0.1248703,0.1248703
0.12109041,2.6990414,0.12459564,0.12459564,0.12459564
0.12240133,0.2990651,0.12453079,0.12453079,0.12453079
0.12369841,4.1822896,0.12482071,0.12482071,0.12482071
0.12498163,1.7823286,0.12481308,0.12481308,0.12481308
0.12625234,5.665553,0.124637604,0.124637604,0.124637604
0.12751046,3.265592,0.124420166,0.124420166,0.124420166
0.1287559,0.8656311,0.12470627,0.12470627,0.12470627
0.12998992,4.7488556,0.124744415,0.124744415,0.124744415
0.1312124,2.3488793,0.12468338,0.12468338,0.12468338
0.1324232,6.232104,0.12434006,0.12434006,0.12434006
0.13362356,3.8321428,0.124637604,0.124637604,0.124637604
0.13481328,1.4321818,0.12472153,0.12472153,0.12472153
0.13599221,5.3154063,0.12466049,0.12466049,0.12466049
0.13716152,2.9154453,0.12432861,0.12432861,0.12432861
0.13832101,0.51548433,0.124443054,0.124443054,0.124443054
0.13947092,4.3986936,0.12468338,0.12468338,0.12468338
0.14061105,1.9987326,0.12464905,0.12464905,0.12464905
0.1417425,5.881957,0.12434006,0.12434006,0.12434006
0.14286505,3.481996,0.12428284,0.12428284,0.12428284
0.14397848,1.0820351,0.12459564,0.12459564,0.12459564
0.14508384,4.9652443,0.12459946,0.12459946,0.12459946
0.14618091,2.5652986,0.124370575,0.124370575,0.124370575
0.14726946,0.1653223,0.124176025,0.124176025,0.124176025
0.14835048,4.048562,0.124492645,0.124492645,0.124492645
0.14942373,1.6485858,0.12454224,0.12454224,0.12454224
0.15048899,5.5318255,0.12441254,0.12441254,0.12441254
0.15154721,3.1318493,0.124126434,0.124126434,0.124126434
0.15259814,0.73187304,0.12436676,0.12436676,0.12436676
0.15364157,4.615113,0.124492645,0.124492645,0.124492645
0.15467839,2.2151365,0.12441635,0.12441635,0.12441635
0.15570836,6.0983763,0.12404251,0.12404251,0.12404251
0.15673123,3.6984,0.12420654,0.12420654,0.12420654
0.15774791,1.2984543,0.12443924,0.12443924,0.12443924
